Species.name_(queried_GBIF),,reason_no_map,IUCN?,to_check,Range_source,Range_source_website,Range_description,Range_errors,Action,Realm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cupressus sempervirens,,,,make sure sample comes from original range (not cultivated),wikipedia; missouri bot garden; IUCN (no map); Bagnoli etal,,"MBG: native to southern Europe and western Asia.  IUCN: This species is found in the eastern Mediterranean: Crete, Cyprus, East Aegean Is., Greece (?); N Africa: Libya; Western Asia: Iran, Israel, Jordan, Lebanon, Syria, and Turkey [W Mediterranean distribution based on cultigens]. Cyprus; Greece (East Aegean Is., Greece (mainland) - Present - Origin Uncertain, Kriti); Iran, Islamic Republic of; Israel; Jordan; Lebanon; Libya; Turkey (NOT ITALY?  CALLED ITALIAN CYPRESS...)","trust IUCN (gives a narrower range of countried than wikipedia, but wiki offers no citations for range and is widely cultivated outside its original range) but add Wmed up to Italy according to Bagnoli etal 2009",country.codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cussonia paniculata,,,,,PlantZA,http://www.plantzafrica.com/plantcd/cussoniapan.htm,Cussonia paniculata occurs inland at altitudes up to 2 100 m. It is often found in rocky places from the mountains of the Karoo and Eastern Cape through KwaZulu-Natal and Free State into Gauteng and further north. It grows in crevices filled with natural organic humus and compost. It is commonly found near Johannesburg and Pretoria.,,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dais cotinifolia,,,,,PlantZA; flora of zimbabwe,http://www.plantzafrica.com/plantcd/daiscotonifolia.htm; http://www.zimbabweflora.co.zw/speciesdata/species.php?species_id=141380,"Its natural home is the eastern part of South Africa where it grows on the margins of forests, wooded hill slopes and in stony kloofs.  Zim flora says : Tanzania, Malawi, Zimbabwe, South Africa, Swaziland and Lesotho (but ref includes naturalised species)",excl points otuside southern africa & in western S Africa,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dermatocarpon fluviatile,,,,,Consortium of N Am lichen herbaria; Quian & Klinka; Heiomarsson(2000),http://lichenportal.org/portal/taxa/index.php?taxon=64179; www.blm.gov/or/plans/surveyandmanage/MR/Lichens/dermato.pdf,"NB: now called D. luridum.  CNALH: North America and Europe Sonoran distribution: throughout Arizona. Notes: Dermatocarpon luridum is a common species in seepages and brooks in the temperate zone of both Europe and North America. (not in israeli list of lichens).  Quiqn & Klinka: in BC  Glavich (2006) says: his species has been mistaken for other lichens in the Pacific Northwest, including D. meiophyllizum and D. miniatum, and there is yet to be a verified specimen from the area. Verifiable D. luridum does occur in the U.S. (Wisconsin; Vermont; Virginia) and could possibly exist in the Pacific Northwest.  Dl restoration plan (have pdf): known from only 19 sites in the range of the Northwest Forest Plan, seven in Washington, nine in Oregon and three in California.  It occurs in northern and western Britain and Ireland, in New Zealand (Purvis et al. 1992), and in temperate to arctic regions in the Northern Hemisphere where it is uncommon in the Northwest Territories and frequent throughout British Columbia below the alpine zone (Goward et al. 1994). It is common in eastern North America, and uncommonly collected in the Rocky Mountains (McCune and Geiser 1997), British Columbia (Goward et al. 1994), and southeastern Alaska (Geiser et al. 1998).California sites may represent the southern limits of its range in North America.  Heiomarsson (2000): not particularly temp sensitive, occurs in both borreal and arctic zone in nordic countries",N Am: missing NRL (Alaska and northern BC).  Europe: missing bunch of points in southern Finland but N RL is good. Missing points in Morocco,remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desfontainia spinosa,,,,,wikipedia citing encyclopedia,,"native of rainforests and mountain slopes in southern Central America and South America, occurring from Costa Rica in the north to certain islands of Tierra del Fuego (shared by Chile and Argentina) in the extreme South, being present also in Panama, Colombia, Venezuela, Peru, Bolivia and Ecuador",excl point in USA,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diosma ericoides,,,,,.,.,.,only 2 points,remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diploschistes gypsaceus,,,,,Consortium of N Am lichen herbaria;,http://lichenportal.org/portal/taxa/index.php?taxon=52883,CNALH: Africa (incl Madagascar) | Eurasia _ Asia Extratropical | Oceania _ Australasia | Eurasia _ Europe | Americas _ North America (incl Mexico) | Americas _ South and Central America | Arctic.,missing S RL (africa - Madagascar),remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diplotomma alboatrum,,,,,Lichen portal,ichenportal.org/portal/taxa/index.php?taxon=55024,"Africa, Asia, Australia, Europe, North America, and South America",,remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dirca occidentalis,,,,,Calflora,http://www.calflora.org/cgi-bin/species_query.cgi?where-taxon=Dirca+occidentalis,endemic to California (narrow range round bay area),excl point in MX,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodonaea viscosa,,,,need.sample.location,kew,http://www.kew.org/science-conservation/plants-fungi/dodonaea-viscosa-hopbush,"Widely distributed through the southern hemisphere including Australia, New Zealand, South and Southeast Asia, Africa and Latin America; also occurring in the southern United States.",Australia dist no good as missing from islands above.  Almost no points in africa.  Use Nam range if thatês where thermal tolerance point comes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dovyalis caffra,,,,,PlantZA,http://www.plantzafrica.com/plantcd/dovycaf.htm,"from Eastern Cape through KwaZulu-Natal to Swaziland, into Limpopo [Northern Province] and Zimbabwe.",only have points in South Africa,remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dracophyllum muscoides,,,,,New Zealand Plant Conservation Network,http://www.nzpcn.org.nz/flora_details.aspx?ID=1806,Endemic. New Zealand: South Island (from Mount Hercules southwards to the Princess Mountains,doesnêt go all the way to either RL,remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drimys winteri,,,,,SanFran bot garden,http://www.sfbotanicalgarden.org/garden/bloom_06_12.shtml,"Winter's Bark can be found from Mexico to Tierra del Fuego. Cant find ref for where it stops in MX, but some sites say 'as far north as MX' so limit in southern MX seems likely.",excl points outside latin america,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elaeocarpus dentatus,,,,,New Zealand Plant Conservation Network,http://www.nzpcn.org.nz/flora_details.aspx?ID=1830,"var dentatus: Endemic. North, and South Islands",missing points from sample location,remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elaeocarpus reticulatus,,,,,Australian native plants society: Aus gov,http://anpsa.org.au/e-ret.html; https://www.anbg.gov.au/gnp/interns-2002/elaeocarpus-reticulatus.html,"Rainforest and coastal scrub of south east Queensland, eastern New South Wales, eastern Victoria and King and Flinders Islands in Bass Strait. Aust gov: endemic Australian species, occurring all along the east coast from Fraser Island, Queensland (25 deg) down to Flinders Island, Tasmania. The warmer temperate conditions along the coast suit this species, and it is not found at cooler high altitudes or in areas experiencing frosts.(see maps on sites)",excl points ouside escribed range,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elegia capensis,,,,,PlantZA,http://www.plantzafrica.com/plantefg/elegiacap.htm,"endemic to SA: widespread species in or near the mountain ranges of the western, southern and eastern Cape, as far as Port Elizabeth. The plants grow from near sea level to an altitude of 1 600 m",excl points outside SA,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Embothrium coccineum,,,,,Zuniga-Feest etal (2015) Plant & Soil,,temperate forests of Chile and Argentina. Zuniga-Feest etal (2015): in Chile is found from 35ç to 56ç S and from 0 to 1200 m (Rodriguez et al. 1983; Romero 1986),,country.codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encelia californica,,,,sample location,"Calflora; Contributions from the United States National Herbarium, Volume 23, Parts 4-5",http://www.calflora.org/cgi-bin/species_query.cgi?where-calrecnum=2963,"W N.Am, from S Cali.  Usherb: northern Baja, Calif, Arizona","looks fine except sample point is in ocean, also exclude outlier in S Baja",country.codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encelia farinosa,,,,,Flora of North America,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=250066497,"0_1000 m; Ariz., Calif., Nev.; Mexico (Baja California, Baja California Sur, Sinaloa, Sonora)",,country.codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Epilobium hirsutum,,,,,wikipedia,,"The native range of the species includes North Africa, most of Europe up to South of Sweden,[5] and parts of Asia. It is absent from much of Scandinavia and north-west Scotland. It has been introduced to North America and Australia.",missing S RL (N Africa),remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erica cerinthoides,,,,,PlantZA,http://www.plantzafrica.com/plantefg/ericacerinth.htm,"most widely distributed of the heaths in southern Africa. It occurs from the Cedarberg Mountains in the Western Cape, though the Eastern Cape, Transkei, Natal Drakensberg, into Mpumalanga, Lesotho, Swaziland, and as far north as the Soutpansberg in the Northern Province. It is found in different habitats in the Cape where it grows from the coastal plains to the mountain tops.",excl one off shore point,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erica cruenta,,,,,SANBI (S Africa National Biodiversity Institute),http://redlist.sanbi.org/species.php?species=1820-223,endemic to western cape along coast (see map),excl point outside western cape,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erica hirtiflora,,,,,PlantZA,http://www.plantzafrica.com/plantefg/ericahirtiflora.htm,"indigenous to the Cape Peninsula and can be seen on the slopes above Kirstenbosch where it is common, turning the montain slopes purple-pink during its flowering season. It occurs from Malmesbury to the Peninsula to Caledon, Riviersonderend and Swellendam.",,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erica melanthera,,,,,SANBI (S Africa National Biodiversity Institute),http://redlist.sanbi.org/species.php?species=1820-577,endemic to S Africa Eastern & Western Cape,,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eriodictyon californicum,,,,,Jepson Flora Project,http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=24668,"Calif: NW, CaR, SN, GV, CW; Distribution Outside California: southern Oregon. ",incl points n baja as calflora points go right to border.  Excl outliers,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eriogonum fasciculatum,,,,,Flora of North America,http://www.efloras.org/object_page.aspx?object_id=92308&flora_id=1,"Cali, Utah, Nevada,Arizona, NW MX",,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eriogonum latifolium,,,,,Flora of North America,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=250060361,"along the immediate coast of southwest Oregon (Curry County) and western California (Alameda, Contra Costa, Del Norte, Humboldt, Marin, Mendocino, Monterey, San Francisco, San Luis Obispo, San Mateo, Santa Cruz, and Sonoma counties).",might be on offshore islands but wont include them so get rid of.  Excl those & inland outliers,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucryphia cordifolia,,,,,wikipedia,https://en.wikipedia.org/wiki/Eucryphia_cordifolia,"The natural habitat is along the Andes Range from 38 to 43çS, and up to 700 meters (2300_ft) above sea level",none but since know lat range use it,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eucryphia lucida,,,,,Aust gov,https://www.anbg.gov.au/gnp/interns-2005/eucryphia-lucida.html,endemic to wetsern tasmania,excl points outside tasmania,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euryops pectinatus,,,,,Kew,http://www.kew.org/science-conservation/plants-fungi/euryops-pectinatus-golden-daisy-bush,Restricted to South Africa where it is found in the south-western Cape from Gifberg to the South Peninsula.,,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euryops virgineus,,,,,PlantZA,http://www.plantzafrica.com/plantefg/euryopvirgin.htm,"endemic to southern Africa and occurs naturally in the southern coastal areas from Bredasdorp in Western Cape to Alexandria in Eastern Cape, often at low altitudes. It extends inland into the Swartberg Mountains to about 1 200 m.",,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Felicia amelloides,,,,,PlantZA,http://www.plantzafrica.com/plantefg/felicamell.htm,"coastal strip of both the Western and Eastern Cape Provinces, mainly from Humansdorp to Port Alfred. It has been recorded from as far west as the De Hoop-Potberg Nature Reserve and it reaches the Kei River mouth to the east. The furthest inland it extends seems to be to the Vanstadensberg and Winterhoek Mountains near Port Elizabeth and Uitenhage, and the Ecca Pass, near Grahamstown. For a long time it was thought that this felicia occurs in the Cape Peninsula. This was because of confusion with other species such as F. aethiopica, which has closely similar flowers but alternate leaves. The habitat of F. amelloides ranges in altitude from 0-1 000 m.",,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ficaria verna,,,,,map from wikipedia ref,http://linnaeus.nrm.se/flora/di/ranuncula/ranun/ranuficv.jpg,"erope & asia, not N Am (see map)",should go almost to top of norway and across very top of north africa - missing both,remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gentiana divisa,,,,collection point outside range,NZ plant conservatino network,http://m.nzpcn.org.nz/flora_details.aspx?ID=1927,"NZ Endemic. South Island, from Canterbury south along the main divide into Fiordland",,fine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geranium robertianum,,,,,wikipedia,,"Europe from the north Mediterranean coast to the Baltic and from the British Isles in the west to the Caucasus in the east.[4] It has been introduced into many other temperate parts of the world.  Cant find more presice description of northern RL in scandanavia, so assume correct",assume fine,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grevillea rosmarinifolia,,,,,Australia native plants society,http://anpsa.org.au/g-ros.html,"Australia endemic: Woodland, mallee and shrubland from the central west of New South Wales to central and western Victoria (see map)",,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grevillea speciosa,,,,,Australia native plants society,http://anpsa.org.au/grev1a.html,Australian endemic - moist forests around sydney,excl points far from syndey,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greyia sutherlandii,,,,,PlantZA,http://www.plantzafrica.com/plantefg/greyiasuther.htm,"slopes and rocky ridges of the Drakensberg up to an altitude of about 1 800 m, in the Eastern Cape, the eastern Free State, KwaZulu-Natal, Swaziland and eastern Gauteng",excl points in western cape,excl.points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Griselinia littoralis,,,,,Dawson & King 1966,http://nzetc.victoria.ac.nz/tm/scholarly/tei-Bio14Tuat03-t1-body-d2.html,"NZ endemicdistributed throughout the North and South Islands with the addition of Stewart Island, but is more common in the south and at higher altitudes.",,country.codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Griselinia racemosa,,,,,Munoz etal (2003) (not super helpful); wikipedia (no ref),https://en.wikipedia.org/wiki/Griselinia,"southern Chile (Los Lagos, Ais_n) and adjacent Argentina (western Chubut)",,fine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hakea salicifolia,,,,,Australian Native Plants Society,http://anpsa.org.au/h-sal.html,Australian endemic: Open forests of eastern New South Wales and the extreme south east of Queensland.,excl points outside map given by ref EXCL ISLAND POINT,country.codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halleria lucida,,,,,PlantZA; flora of zimbabwe; flora of mozambique; flora of south sudan-uganda border lists it,http://www.plantzafrica.com/planthij/hallerialucida.htm; http://www.zimbabweflora.co.zw/speciesdata/species.php?species_id=151010; http://www.mozambiqueflora.com/speciesdata/species.php?species_id=151010,"from the Cape peninsula in the south in a strip up the eastern coast of South Africa, through the Eastern Cape to Lesotho, the eastern Free State, KwaZulu-Natal and Swaziland where it turns inland and roughly follows the escarpment into Mpumalanga, Gauteng and the Northern and North West Province. It also occurs in isolated pockets in Zimbabwe.  Floral of Zim has very different description: From Yemen south through Ethiopia to South Africa in Zim W,C,E,S.  Flora of MZ says Z,MS (presumably means states of Zambezia and ... not sure what MS would stand for","have no points in Zim, but could include the records for Mozambique which would extend polygon into Zimbabwe. = african honeysuckle, assume pionts northward in africa = naturalized from gardens?",remove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
